,cost,group,n_met,n_mutual,n_pw_mut,table,chat,room,session
0,-4.0,"(81, 56, 27, 11)",0.0,3.0,18.0,0,0,1,1
1,-3.0,"(0, 60, 66, 74)",0.0,2.0,18.0,1,0,1,1
2,-2.888888888888889,"(5, 25, 26, 37)",0.0,2.0,16.0,2,0,1,1
3,-2.8333333333333335,"(2, 50, 55, 64)",0.0,2.0,15.0,3,0,1,1
4,-2.6666666666666665,"(15, 20, 38, 69)",0.0,2.0,12.0,4,0,1,1
5,-1.7222222222222223,"(8, 22, 57, 70)",0.0,1.0,13.0,5,0,1,1
6,-1.6111111111111112,"(6, 21, 3, 36)",0.0,1.0,11.0,6,0,1,1
7,-0.2777777777777778,"(16, 51, 72, 30)",0.0,0.0,5.0,7,0,1,1
8,-0.2777777777777778,"(63, 79, 35, 44)",0.0,0.0,5.0,8,0,1,1
9,-1.5555555555555556,"(19, 48, 80, 14)",0.0,1.0,10.0,9,0,1,1
10,-1.5,"(39, 59, 78, 71)",0.0,1.0,9.0,10,0,1,1
11,-2.7222222222222223,"(47, 45, 31, 7)",0.0,2.0,13.0,11,0,1,1
12,-4.055555555555555,"(6, 37, 60, 64)",0.0,3.0,19.0,0,1,1,1
13,-4.0,"(2, 26, 69, 81)",0.0,3.0,18.0,1,1,1,1
14,-2.8333333333333335,"(5, 36, 8, 0)",0.0,2.0,15.0,2,1,1,1
15,-2.7777777777777777,"(3, 11, 55, 74)",0.0,2.0,14.0,3,1,1,1
16,-2.7777777777777777,"(15, 25, 31, 66)",0.0,2.0,14.0,4,1,1,1
17,-1.6666666666666665,"(14, 27, 44, 50)",0.0,1.0,12.0,5,1,1,1
18,-1.5,"(39, 30, 47, 48)",0.0,1.0,9.0,6,1,1,1
19,-0.2222222222222222,"(7, 79, 57, 16)",0.0,0.0,4.0,7,1,1,1
20,-1.6111111111111112,"(71, 22, 19, 20)",0.0,1.0,11.0,8,1,1,1
21,-0.2777777777777778,"(59, 56, 35, 21)",0.0,0.0,5.0,9,1,1,1
22,-1.5555555555555556,"(70, 72, 38, 63)",0.0,1.0,10.0,10,1,1,1
23,-0.3333333333333333,"(45, 78, 51, 80)",0.0,0.0,6.0,11,1,1,1
24,-2.888888888888889,"(55, 27, 0, 37)",0.0,2.0,16.0,0,2,1,1
25,-2.8333333333333335,"(11, 14, 25, 64)",0.0,2.0,15.0,1,2,1,1
26,-2.7777777777777777,"(5, 7, 66, 71)",0.0,2.0,14.0,2,2,1,1
27,-2.7222222222222223,"(20, 2, 31, 36)",0.0,2.0,13.0,3,2,1,1
28,-1.6666666666666665,"(6, 39, 74, 81)",0.0,1.0,12.0,4,2,1,1
29,-1.5,"(45, 26, 8, 15)",0.0,1.0,9.0,5,2,1,1
30,-1.5,"(69, 56, 22, 47)",0.0,1.0,9.0,6,2,1,1
31,-0.2777777777777778,"(50, 57, 48, 63)",0.0,0.0,5.0,7,2,1,1
32,1.5555555555555554,"(72, 44, 16, 78)",1.0,0.0,2.0,8,2,1,1
33,-0.16666666666666666,"(80, 70, 3, 59)",0.0,0.0,3.0,9,2,1,1
34,-0.3333333333333333,"(19, 60, 30, 35)",0.0,0.0,6.0,10,2,1,1
35,-0.3888888888888889,"(21, 51, 79, 38)",0.0,0.0,7.0,11,2,1,1
36,-2.888888888888889,"(26, 27, 36, 64)",0.0,2.0,16.0,0,3,1,1
37,-2.7222222222222223,"(16, 20, 0, 21)",0.0,2.0,13.0,1,3,1,1
38,-2.7222222222222223,"(25, 51, 6, 69)",0.0,2.0,13.0,2,3,1,1
39,-1.7777777777777777,"(19, 37, 31, 11)",0.0,1.0,14.0,3,3,1,1
40,-1.6666666666666665,"(2, 3, 14, 56)",0.0,1.0,12.0,4,3,1,1
41,-1.6111111111111112,"(5, 15, 60, 63)",0.0,1.0,11.0,5,3,1,1
42,-1.5555555555555556,"(47, 55, 57, 66)",0.0,1.0,10.0,6,3,1,1
43,1.222222222222222,"(44, 45, 50, 71)",1.0,0.0,8.0,7,3,1,1
44,-0.1111111111111111,"(81, 72, 79, 59)",0.0,0.0,2.0,8,3,1,1
45,-0.2777777777777778,"(74, 78, 35, 70)",0.0,0.0,5.0,9,3,1,1
46,1.1666666666666665,"(22, 39, 48, 7)",1.0,0.0,9.0,10,3,1,1
47,-0.5,"(80, 38, 8, 30)",0.0,0.0,9.0,11,3,1,1
48,-2.7777777777777777,"(21, 55, 60, 69)",0.0,2.0,14.0,0,4,1,1
49,-2.7222222222222223,"(25, 36, 38, 81)",0.0,2.0,13.0,1,4,1,1
50,-1.7222222222222223,"(2, 66, 6, 27)",0.0,1.0,13.0,2,4,1,1
51,-1.6111111111111112,"(64, 74, 72, 5)",0.0,1.0,11.0,3,4,1,1
52,-1.5555555555555556,"(0, 31, 57, 78)",0.0,1.0,10.0,4,4,1,1
53,-1.4444444444444444,"(7, 11, 26, 80)",0.0,1.0,8.0,5,4,1,1
54,-0.5555555555555556,"(22, 45, 30, 59)",0.0,0.0,10.0,6,4,1,1
55,-0.2777777777777778,"(8, 79, 48, 56)",0.0,0.0,5.0,7,4,1,1
56,-0.4444444444444444,"(37, 35, 20, 14)",0.0,0.0,8.0,8,4,1,1
57,-0.2222222222222222,"(19, 63, 16, 47)",0.0,0.0,4.0,9,4,1,1
58,-0.2222222222222222,"(71, 51, 70, 15)",0.0,0.0,4.0,10,4,1,1
59,1.9444444444444442,"(44, 3, 50, 39)",2.0,1.0,7.0,11,4,1,1
60,-2.7777777777777777,"(31, 38, 56, 64)",0.0,2.0,14.0,0,5,1,1
61,-2.7222222222222223,"(3, 37, 51, 81)",0.0,2.0,13.0,1,5,1,1
62,-1.6666666666666665,"(0, 2, 15, 72)",0.0,1.0,12.0,2,5,1,1
63,-1.6111111111111112,"(11, 50, 69, 79)",0.0,1.0,11.0,3,5,1,1
64,-1.5555555555555556,"(7, 8, 14, 55)",0.0,1.0,10.0,4,5,1,1
65,-1.5555555555555556,"(19, 36, 66, 78)",0.0,1.0,10.0,5,5,1,1
66,-0.4444444444444444,"(16, 22, 26, 60)",0.0,0.0,8.0,6,5,1,1
67,1.4444444444444442,"(39, 63, 71, 25)",1.0,0.0,4.0,7,5,1,1
68,1.3333333333333333,"(27, 80, 35, 48)",1.0,0.0,6.0,8,5,1,1
69,1.5555555555555554,"(44, 30, 47, 21)",1.0,0.0,2.0,9,5,1,1
70,-1.4444444444444444,"(5, 70, 6, 45)",0.0,1.0,8.0,10,5,1,1
71,-0.3333333333333333,"(74, 57, 59, 20)",0.0,0.0,6.0,11,5,1,1
72,-1.7222222222222223,"(36, 37, 71, 74)",0.0,1.0,13.0,0,6,1,1
73,-1.6666666666666665,"(64, 47, 81, 8)",0.0,1.0,12.0,1,6,1,1
74,-1.6666666666666665,"(25, 55, 56, 72)",0.0,1.0,12.0,2,6,1,1
75,-1.6111111111111112,"(3, 5, 20, 27)",0.0,1.0,11.0,3,6,1,1
76,-1.6111111111111112,"(39, 2, 21, 11)",0.0,1.0,11.0,4,6,1,1
77,-1.5,"(0, 22, 50, 80)",0.0,1.0,9.0,5,6,1,1
78,-0.5,"(69, 63, 66, 45)",0.0,0.0,9.0,6,6,1,1
79,1.611111111111111,"(7, 30, 79, 15)",1.0,0.0,1.0,7,6,1,1
80,0.2222222222222221,"(14, 38, 19, 57)",1.0,1.0,8.0,8,6,1,1
81,3.1111111111111107,"(59, 44, 78, 48)",2.0,0.0,4.0,9,6,1,1
82,-1.4444444444444444,"(35, 6, 31, 16)",0.0,1.0,8.0,10,6,1,1
83,2.944444444444444,"(70, 51, 26, 60)",2.0,0.0,7.0,11,6,1,1
84,-1.5555555555555556,"(0, 11, 45, 48)",0.0,1.0,10.0,0,7,1,1
85,-1.5,"(25, 50, 60, 78)",0.0,1.0,9.0,1,7,1,1
86,-1.4444444444444444,"(5, 57, 80, 81)",0.0,1.0,8.0,2,7,1,1
87,-0.4444444444444444,"(6, 26, 38, 47)",0.0,0.0,8.0,3,7,1,1
88,-0.3888888888888889,"(14, 39, 66, 70)",0.0,0.0,7.0,4,7,1,1
89,-0.3888888888888889,"(44, 22, 36, 55)",0.0,0.0,7.0,5,7,1,1
90,-0.2777777777777778,"(74, 56, 63, 30)",0.0,0.0,5.0,6,7,1,1
91,1.2777777777777777,"(37, 16, 8, 15)",1.0,0.0,7.0,7,7,1,1
92,-0.2222222222222222,"(51, 2, 59, 19)",0.0,0.0,4.0,8,7,1,1
93,-0.3333333333333333,"(3, 35, 7, 69)",0.0,0.0,6.0,9,7,1,1
94,2.9999999999999996,"(20, 79, 27, 72)",2.0,0.0,6.0,10,7,1,1
95,1.111111111111111,"(21, 71, 31, 64)",1.0,0.0,10.0,11,7,1,1
96,-2.7222222222222223,"(54, 49, 4, 75)",0.0,2.0,13.0,0,0,2,1
97,-1.5555555555555556,"(1, 18, 32, 34)",0.0,1.0,10.0,1,0,2,1
98,-1.4444444444444444,"(23, 24, 33, 76)",0.0,1.0,8.0,2,0,2,1
99,-0.3888888888888889,"(82, 77, 62, 29)",0.0,0.0,7.0,3,0,2,1
100,-1.4444444444444444,"(73, 28, 52, 68)",0.0,1.0,8.0,4,0,2,1
101,-3.4444444444444446,"(17, 40, 65, 67, 42)",0.0,2.0,26.0,5,0,2,1
102,-2.166666666666667,"(9, 10, 12, 13, 61)",0.0,1.0,21.0,6,0,2,1
103,-2.0,"(41, 43, 46, 53, 58)",0.0,1.0,18.0,7,0,2,1
104,-1.5555555555555556,"(33, 13, 28, 40)",0.0,1.0,10.0,0,1,2,1
105,-1.5,"(34, 54, 76, 77)",0.0,1.0,9.0,1,1,2,1
106,-1.3888888888888888,"(23, 52, 58, 75)",0.0,1.0,7.0,2,1,2,1
107,-1.4444444444444444,"(1, 62, 41, 61)",0.0,1.0,8.0,3,1,2,1
108,-1.5555555555555556,"(68, 32, 42, 53)",0.0,1.0,10.0,4,1,2,1
109,-2.2777777777777777,"(4, 12, 17, 18, 46)",0.0,1.0,23.0,5,1,2,1
110,-1.8888888888888888,"(24, 9, 43, 82, 65)",0.0,1.0,16.0,6,1,2,1
111,-0.8333333333333334,"(10, 29, 49, 67, 73)",0.0,0.0,15.0,7,1,2,1
112,-1.6111111111111112,"(12, 29, 40, 68)",0.0,1.0,11.0,0,2,2,1
113,-0.4444444444444444,"(41, 54, 32, 24)",0.0,0.0,8.0,1,2,2,1
114,-0.4444444444444444,"(58, 17, 76, 73)",0.0,0.0,8.0,2,2,2,1
115,-0.2222222222222222,"(52, 61, 53, 34)",0.0,0.0,4.0,3,2,2,1
116,-0.3333333333333333,"(65, 1, 33, 77)",0.0,0.0,6.0,4,2,2,1
117,-2.0555555555555554,"(13, 67, 75, 18, 43)",0.0,1.0,19.0,5,2,2,1
118,-0.7222222222222222,"(4, 10, 42, 82, 23)",0.0,0.0,13.0,6,2,2,1
119,-0.6666666666666666,"(49, 9, 28, 46, 62)",0.0,0.0,12.0,7,2,2,1
120,-1.6111111111111112,"(1, 10, 17, 75)",0.0,1.0,11.0,0,3,2,1
121,-1.1111111111111112,"(4, 13, 32, 41)",1.0,2.0,14.0,1,3,2,1
122,-0.2222222222222222,"(53, 67, 9, 76)",0.0,0.0,4.0,2,3,2,1
123,-0.16666666666666666,"(33, 58, 82, 61)",0.0,0.0,3.0,3,3,2,1
124,-0.3333333333333333,"(29, 42, 28, 34)",0.0,0.0,6.0,4,3,2,1
125,-0.6666666666666666,"(18, 49, 65, 68, 23)",0.0,0.0,12.0,5,3,2,1
126,-0.7222222222222222,"(12, 43, 54, 73, 62)",0.0,0.0,13.0,6,3,2,1
127,-0.5,"(24, 40, 46, 77, 52)",0.0,0.0,9.0,7,3,2,1
128,-1.5555555555555556,"(12, 42, 75, 77)",0.0,1.0,10.0,0,4,2,1
129,-0.4444444444444444,"(18, 40, 41, 73)",0.0,0.0,8.0,1,4,2,1
130,-0.2222222222222222,"(24, 62, 58, 13)",0.0,0.0,4.0,2,4,2,1
131,2.9999999999999996,"(65, 49, 61, 53)",2.0,0.0,6.0,3,4,2,1
132,-0.2222222222222222,"(1, 29, 23, 9)",0.0,0.0,4.0,4,4,2,1
133,-0.22222222222222232,"(17, 28, 54, 82, 67)",1.0,1.0,16.0,5,4,2,1
134,0.9444444444444443,"(10, 32, 46, 76, 52)",1.0,0.0,13.0,6,4,2,1
135,-0.5,"(4, 33, 43, 68, 34)",0.0,0.0,9.0,7,4,2,1
136,0.05555555555555536,"(10, 18, 33, 42)",1.0,1.0,11.0,0,5,2,1
137,1.2777777777777777,"(9, 73, 82, 32)",1.0,0.0,7.0,1,5,2,1
138,1.3888888888888888,"(23, 53, 28, 43)",1.0,0.0,5.0,2,5,2,1
139,1.5555555555555554,"(62, 61, 40, 76)",1.0,0.0,2.0,3,5,2,1
140,0.2222222222222221,"(29, 58, 54, 52)",1.0,1.0,8.0,4,5,2,1
141,0.8333333333333331,"(13, 17, 49, 77, 68)",1.0,0.0,15.0,5,5,2,1
142,-0.16666666666666685,"(75, 65, 41, 34, 12)",1.0,1.0,15.0,6,5,2,1
143,2.4999999999999996,"(1, 4, 24, 67, 46)",2.0,0.0,15.0,7,5,2,1
144,-0.3333333333333333,"(65, 10, 58, 28)",0.0,0.0,6.0,0,6,2,1
145,0.05555555555555536,"(77, 4, 18, 9)",1.0,1.0,11.0,1,6,2,1
146,1.3333333333333333,"(67, 32, 12, 52)",1.0,0.0,6.0,2,6,2,1
147,1.8888888888888886,"(68, 43, 76, 41)",2.0,1.0,8.0,3,6,2,1
148,0.2777777777777776,"(73, 24, 42, 49)",1.0,1.0,7.0,4,6,2,1
149,2.722222222222222,"(1, 40, 53, 82, 34)",2.0,0.0,11.0,5,6,2,1
150,1.1666666666666665,"(61, 46, 13, 54, 23)",1.0,0.0,9.0,6,6,2,1
151,2.722222222222222,"(33, 62, 75, 17, 29)",2.0,0.0,11.0,7,6,2,1
152,1.6666666666666665,"(12, 33, 49, 67)",2.0,1.0,12.0,0,7,2,1
153,1.7777777777777775,"(13, 46, 75, 82)",2.0,1.0,10.0,1,7,2,1
154,2.9999999999999996,"(9, 42, 34, 41)",2.0,0.0,6.0,2,7,2,1
155,2.9999999999999996,"(28, 73, 61, 24)",2.0,0.0,6.0,3,7,2,1
156,3.2777777777777777,"(52, 23, 62, 17)",2.0,0.0,1.0,4,7,2,1
157,3.0555555555555554,"(54, 10, 53, 18, 68)",3.0,1.0,17.0,5,7,2,1
158,2.833333333333333,"(77, 32, 40, 58, 43)",2.0,0.0,9.0,6,7,2,1
159,4.444444444444445,"(4, 76, 29, 65, 1)",3.0,0.0,10.0,7,7,2,1
